,model,pre_len,mse,mae,r2,precipitationIntensity,temperature,humidity,weatherCode
2021-07-09 21:50:00,,,,,,0.0,15.72666667,81.33333333,Cloudy
2021-07-09 21:55:00,,,,,,0.0,15.45333333,82.66666667,Cloudy
2021-07-09 22:00:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:05:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:10:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:15:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:20:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:25:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:30:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:35:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:40:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:45:00,,,,,,0.0,15.18,84.0,Cloudy
2021-07-09 22:50:00,,,,,,0.0,14.95333333,85.0,Cloudy
2021-07-09 22:55:00,,,,,,0.0,14.72666667,86.0,Cloudy
2021-07-09 23:00:00,,,,,,0.0,14.5,87.0,Cloudy
2021-07-09 23:05:00,,,,,,0.0,14.5,87.0,Cloudy
2021-07-09 23:10:00,,,,,,0.0,14.5,87.0,Cloudy
2021-07-09 23:15:00,,,,,,0.0,14.5,87.0,Partly Cloudy
2021-07-09 23:20:00,,,,,,0.0,14.5,87.0,Partly Cloudy
2021-07-09 23:25:00,,,,,,0.0,14.5,87.0,Partly Cloudy
2021-07-09 23:30:00,,,,,,0.0,14.5,87.0,Partly Cloudy
2021-07-09 23:35:00,,,,,,0.0,14.22666667,87.66666667,Partly Cloudy
2021-07-09 23:40:00,,,,,,0.0,13.95333333,88.33333333,Partly Cloudy
2021-07-09 23:45:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-09 23:50:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-09 23:55:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-10 00:00:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-10 00:05:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-10 00:10:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-10 00:15:00,,,,,,0.0,13.68,89.0,Cloudy
2021-07-10 00:20:00,,,,,,0.0,13.72333333,88.66666667,Cloudy
2021-07-10 00:25:00,,,,,,0.0,13.76666667,88.33333333,Cloudy
2021-07-10 00:30:00,,,,,,0.0,13.81,88.0,Cloudy
2021-07-10 00:35:00,,,,,,0.0,13.81,88.0,Cloudy
2021-07-10 00:40:00,,,,,,0.0,13.81,88.0,Cloudy
2021-07-10 00:45:00,,,,,,0.0,13.81,88.0,Cloudy
2021-07-10 00:50:00,,,,,,0.0,13.66333333,88.33333333,Cloudy
2021-07-10 00:55:00,,,,,,0.0,13.51666667,88.66666667,Cloudy
2021-07-10 01:00:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:05:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:10:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:15:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:20:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:25:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:30:00,,,,,,0.0,13.37,89.0,Cloudy
2021-07-10 01:35:00,,,,,,0.0,13.28666667,89.33333333,Cloudy
2021-07-10 01:40:00,,,,,,0.0,13.20333333,89.66666667,Cloudy
2021-07-10 01:45:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 01:50:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 01:55:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:00:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:05:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:10:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:15:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:20:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:25:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:30:00,,,,,,0.0,13.12,90.0,Cloudy
2021-07-10 02:35:00,,,,,,0.0,12.87,90.66666667,Cloudy
2021-07-10 02:40:00,,,,,,0.0,12.62,91.33333333,Cloudy
2021-07-10 02:45:00,,,,,,0.0,12.37,92.0,Cloudy
2021-07-10 02:50:00,,,,,,0.015633333,12.37,92.0,Cloudy
2021-07-10 02:55:00,,,,,,0.031266667000000005,12.37,92.0,Cloudy
2021-07-10 03:00:00,,,,,,0.0469,12.37,92.0,Drizzle
2021-07-10 03:05:00,,,,,,0.0469,12.37,92.0,Drizzle
2021-07-10 03:10:00,,,,,,0.0469,12.37,92.0,Drizzle
2021-07-10 03:15:00,,,,,,0.0469,12.37,92.0,Drizzle
2021-07-10 03:20:00,,,,,,0.0521,12.45333333,92.0,Drizzle
2021-07-10 03:25:00,,,,,,0.0573,12.53666667,92.0,Drizzle
2021-07-10 03:30:00,,,,,,0.0625,12.62,92.0,Drizzle
2021-07-10 03:35:00,,,,,,0.0677,12.62,92.0,Drizzle
2021-07-10 03:40:00,,,,,,0.0729,12.62,92.0,Drizzle
2021-07-10 03:45:00,,,,,,0.0781,12.62,92.0,Drizzle
2021-07-10 03:50:00,,,,,,0.0729,12.37,93.0,Drizzle
2021-07-10 03:55:00,,,,,,0.0677,12.12,94.0,Drizzle
2021-07-10 04:00:00,,,,,,0.0625,11.87,95.0,Drizzle
2021-07-10 04:05:00,,,,,,0.2448,11.87,95.0,Drizzle
2021-07-10 04:10:00,,,,,,0.4271,11.87,95.0,Drizzle
2021-07-10 04:15:00,,,,,,0.6094,11.87,95.0,Light Rain
2021-07-10 04:20:00,,,,,,0.862,11.87,95.0,Light Rain
2021-07-10 04:25:00,,,,,,1.1146,11.87,95.0,Light Rain
2021-07-10 04:30:00,,,,,,1.3672,11.87,95.0,Light Rain
2021-07-10 04:35:00,,,,,,1.6198,11.91333333,94.66666667,Light Rain
2021-07-10 04:40:00,,,,,,1.8724,11.95666667,94.33333333,Light Rain
2021-07-10 04:45:00,,,,,,2.125,12.0,94.0,Light Rain
2021-07-10 04:50:00,,,,,,1.7135333330000002,12.0,94.0,Light Rain
2021-07-10 04:55:00,,,,,,1.302066667,12.0,94.0,Light Rain
2021-07-10 05:00:00,,,,,,0.8906,12.0,94.0,Light Rain
2021-07-10 05:05:00,,,,,,0.8828,12.0,94.0,Light Rain
2021-07-10 05:10:00,,,,,,0.875,12.0,94.0,Light Rain
2021-07-10 05:15:00,,,,,,0.8672,12.0,94.0,Light Rain
2021-07-10 05:20:00,,,,,,0.737,12.0,94.0,Light Rain
2021-07-10 05:25:00,,,,,,0.6068,12.0,94.0,Light Rain
2021-07-10 05:30:00,,,,,,0.4766,12.0,94.0,Drizzle
2021-07-10 05:35:00,,,,,,0.6406666670000001,12.20666667,93.0,Drizzle
2021-07-10 05:40:00,,,,,,0.8047333329999999,12.41333333,92.0,Drizzle
2021-07-10 05:45:00,,,,,,0.9688,12.62,91.0,Light Rain
2021-07-10 05:50:00,,,,,,0.955766667,12.62,91.0,Light Rain
2021-07-10 05:55:00,,,,,,0.942733333,12.62,91.0,Light Rain
2021-07-10 06:00:00,,,,,,0.9297,12.62,91.0,Light Rain
2021-07-10 06:05:00,,,,,,0.817733333,12.58,91.0,Light Rain
2021-07-10 06:10:00,,,,,,0.705766667,12.54,91.0,Light Rain
