,Unnamed: 0,road_name,direction,lats,lons,sp,su,ffs,jf,loni,lati,lat_start,lat_end,lon_start,lon_end
43,1500,A44/WOODSTOCK ROAD,-,"[51.79262, 51.79233, 51.79207, 51.79184, 51.79168]","[-1.28687, -1.28721, -1.28756, -1.28789, -1.28818]",53.0,53.0,65.0,0.96624,"[-1.28687, -1.28721, -1.28756, -1.28789, -1.28818]","[51.79262, 51.79233, 51.79207, 51.79184, 51.79168]",51.79262,51.79168,-1.28687,-1.28818
44,1501,A34 SOUTHBOUND,-,"[51.79772, 51.79754, 51.79745]","[-1.28282, -1.2829, -1.28295]",43.0,43.0,65.0,2.1061400000000003,"[-1.28282, -1.2829, -1.28295]","[51.79772, 51.79754, 51.79745]",51.79772,51.79745,-1.28282,-1.28295
45,1502,A34 SOUTHBOUND,-,"[51.79745, 51.7973]","[-1.28295, -1.2831]",43.0,43.0,65.0,2.1061400000000003,"[-1.28295, -1.2831]","[51.79745, 51.7973]",51.79745,51.7973,-1.28295,-1.2831
46,1503,A34 SOUTHBOUND,-,"[51.7973, 51.79701, 51.79682]","[-1.2831, -1.28337, -1.28353]",43.0,43.0,65.0,2.1061400000000003,"[-1.2831, -1.28337, -1.28353]","[51.7973, 51.79701, 51.79682]",51.7973,51.79682,-1.2831,-1.28353
47,1504,A34 SOUTHBOUND,-,"[51.79682, 51.79648, 51.79614]","[-1.28353, -1.28381, -1.28406]",43.0,43.0,65.0,2.1061400000000003,"[-1.28353, -1.28381, -1.28406]","[51.79682, 51.79648, 51.79614]",51.79682,51.79614,-1.28353,-1.28406
48,1505,A34 SOUTHBOUND,-,"[51.79614, 51.79582, 51.79553, 51.79527]","[-1.28406, -1.28426, -1.28443, -1.2846]",43.0,43.0,65.0,2.1061400000000003,"[-1.28406, -1.28426, -1.28443, -1.2846]","[51.79614, 51.79582, 51.79553, 51.79527]",51.79614,51.79527,-1.28406,-1.2846
49,1506,A34 SOUTHBOUND,-,"[51.79527, 51.79508, 51.79498, 51.79488]","[-1.2846, -1.28473, -1.28479, -1.28481]",43.0,43.0,65.0,2.1061400000000003,"[-1.2846, -1.28473, -1.28479, -1.28481]","[51.79527, 51.79508, 51.79498, 51.79488]",51.79527,51.79488,-1.2846,-1.28481
50,1573,A44/Woodstock Road,-,"[51.79172, 51.79191, 51.7922]","[-1.28832, -1.2881, -1.2878]",91.0,91.0,104.0,1.72623,"[-1.28832, -1.2881, -1.2878]","[51.79172, 51.79191, 51.7922]",51.79172,51.7922,-1.28832,-1.2878
51,1574,A44/Woodstock Road,-,"[51.7922, 51.79235, 51.7926, 51.79282, 51.7929]","[-1.2878, -1.28765, -1.28741, -1.28721, -1.28715]",91.0,91.0,104.0,1.72623,"[-1.2878, -1.28765, -1.28741, -1.28721, -1.28715]","[51.7922, 51.79235, 51.7926, 51.79282, 51.7929]",51.7922,51.7929,-1.2878,-1.28715
52,1575,A44/Woodstock Road,-,"[51.7929, 51.79311]","[-1.28715, -1.28698]",91.0,91.0,104.0,1.72623,"[-1.28715, -1.28698]","[51.7929, 51.79311]",51.7929,51.79311,-1.28715,-1.28698
53,1576,A44/Woodstock Road,-,"[51.79311, 51.79332, 51.79382, 51.79405]","[-1.28698, -1.28681, -1.28643, -1.28628]",91.0,91.0,104.0,1.72623,"[-1.28698, -1.28681, -1.28643, -1.28628]","[51.79311, 51.79332, 51.79382, 51.79405]",51.79311,51.79405,-1.28698,-1.28628
54,1577,A44/Woodstock Road,-,"[51.79405, 51.79459, 51.79518, 51.79532]","[-1.28628, -1.28589, -1.28543, -1.28531]",91.0,91.0,104.0,1.72623,"[-1.28628, -1.28589, -1.28543, -1.28531]","[51.79405, 51.79459, 51.79518, 51.79532]",51.79405,51.79532,-1.28628,-1.28531
55,1578,A44/Woodstock Road,-,"[51.79532, 51.79553]","[-1.28531, -1.28514]",91.0,91.0,104.0,1.72623,"[-1.28531, -1.28514]","[51.79532, 51.79553]",51.79532,51.79553,-1.28531,-1.28514
56,1579,A44/Woodstock Road,-,"[51.79553, 51.79559, 51.79609, 51.79658, 51.7973, 51.79768]","[-1.28514, -1.28509, -1.28466, -1.2842, -1.28349, -1.28309]",91.0,91.0,104.0,1.72623,"[-1.28514, -1.28509, -1.28466, -1.2842, -1.28349, -1.28309]","[51.79553, 51.79559, 51.79609, 51.79658, 51.7973, 51.79768]",51.79553,51.79768,-1.28514,-1.28309
57,1580,Kidlington,-,"[51.79768, 51.79824]","[-1.28309, -1.28245]",112.0,112.0,105.0,0.0,"[-1.28309, -1.28245]","[51.79768, 51.79824]",51.79768,51.79824,-1.28309,-1.28245
58,1618,A44/Woodstock Road,+,"[51.79772, 51.79681, 51.79644, 51.79587, 51.7955, 51.79515, 51.79455, 51.79401]","[-1.28282, -1.28378, -1.28414, -1.28465, -1.28498, -1.28526, -1.28574, -1.28613]",94.0,94.0,105.0,1.4728299999999999,"[-1.28282, -1.28378, -1.28414, -1.28465, -1.28498, -1.28526, -1.28574, -1.28613]","[51.79772, 51.79681, 51.79644, 51.79587, 51.7955, 51.79515, 51.79455, 51.79401]",51.79772,51.79401,-1.28282,-1.28613
59,1619,A44/Woodstock Road,+,"[51.79401, 51.79358, 51.79319, 51.79281, 51.79244]","[-1.28613, -1.28643, -1.28672, -1.28704, -1.28738]",94.0,94.0,105.0,1.4728299999999999,"[-1.28613, -1.28643, -1.28672, -1.28704, -1.28738]","[51.79401, 51.79358, 51.79319, 51.79281, 51.79244]",51.79401,51.79244,-1.28613,-1.28738
60,1620,A44/Woodstock Road,+,"[51.79244, 51.7921, 51.79168]","[-1.28738, -1.28772, -1.28818]",94.0,94.0,105.0,1.4728299999999999,"[-1.28738, -1.28772, -1.28818]","[51.79244, 51.7921, 51.79168]",51.79244,51.79168,-1.28738,-1.28818
61,1956,A34 at Wolvercote,-,"[51.79808, 51.79786, 51.79769, 51.79748]","[-1.28339, -1.28374, -1.28407, -1.28455]",68.0,68.0,81.0,1.0821100000000001,"[-1.28339, -1.28374, -1.28407, -1.28455]","[51.79808, 51.79786, 51.79769, 51.79748]",51.79808,51.79748,-1.28339,-1.28455
62,1957,A34 at Wolvercote,-,"[51.79748, 51.79729, 51.79719, 51.79711, 51.79709]","[-1.28455, -1.28512, -1.28552, -1.2859, -1.286]",68.0,68.0,81.0,1.0821100000000001,"[-1.28455, -1.28512, -1.28552, -1.2859, -1.286]","[51.79748, 51.79729, 51.79719, 51.79711, 51.79709]",51.79748,51.79709,-1.28455,-1.286
63,1958,A34 at Wolvercote,-,"[51.79709, 51.79706, 51.79702, 51.79699, 51.79695, 51.79686]","[-1.286, -1.28621, -1.28655, -1.28678, -1.28696, -1.28721]",68.0,68.0,81.0,1.0821100000000001,"[-1.286, -1.28621, -1.28655, -1.28678, -1.28696, -1.28721]","[51.79709, 51.79706, 51.79702, 51.79699, 51.79695, 51.79686]",51.79709,51.79686,-1.286,-1.28721
64,1959,A34 at Wolvercote,-,"[51.79686, 51.79681]","[-1.28721, -1.28726]",68.0,68.0,81.0,1.0821100000000001,"[-1.28721, -1.28726]","[51.79686, 51.79681]",51.79686,51.79681,-1.28721,-1.28726
65,1960,A34 at Wolvercote,-,"[51.79681, 51.79677, 51.79677, 51.79681]","[-1.28726, -1.28735, -1.28745, -1.28756]",68.0,68.0,81.0,1.0821100000000001,"[-1.28726, -1.28735, -1.28745, -1.28756]","[51.79681, 51.79677, 51.79677, 51.79681]",51.79681,51.79681,-1.28726,-1.28756
66,1961,A34 at Wolvercote,+,"[51.79681, 51.79683]","[-1.28756, -1.28759]",31.0,31.0,42.0,1.7497099999999999,"[-1.28756, -1.28759]","[51.79681, 51.79683]",51.79681,51.79683,-1.28756,-1.28759
67,1962,A34 at Wolvercote,+,"[51.79683, 51.79689, 51.79695, 51.79701, 51.79704]","[-1.28759, -1.28762, -1.28761, -1.28756, -1.28746]",31.0,31.0,42.0,1.74971,"[-1.28759, -1.28762, -1.28761, -1.28756, -1.28746]","[51.79683, 51.79689, 51.79695, 51.79701, 51.79704]",51.79683,51.79704,-1.28759,-1.28746
68,1963,A34 at Wolvercote,+,"[51.79704, 51.79704]","[-1.28746, -1.28735]",31.0,31.0,42.0,1.7497099999999999,"[-1.28746, -1.28735]","[51.79704, 51.79704]",51.79704,51.79704,-1.28746,-1.28735
69,1964,Kidlington,+,"[51.79704, 51.79712, 51.79719]","[-1.28735, -1.28678, -1.28627]",61.0,61.0,80.0,1.88672,"[-1.28735, -1.28678, -1.28627]","[51.79704, 51.79712, 51.79719]",51.79704,51.79719,-1.28735,-1.28627
