,gcn_activation,gc_layer_size,lstm_activation,lstm_layer_size,mse,mae,r2
50,tanh,10,linear,300,0.004849131219089031,0.048873454332351685,0.8536310340906341
51,tanh,15,linear,100,0.004525443539023399,0.046847011893987656,0.8654717563013395
52,tanh,15,linear,200,0.004642331041395664,0.04670492187142372,0.8603036071140151
53,tanh,15,linear,300,0.004746242891997099,0.04812514781951904,0.858584121881385
54,linear,5,relu,100,0.004507103003561497,0.04673634096980095,0.8640212849185682
55,linear,5,relu,200,0.0047181714326143265,0.04732955992221832,0.8577489606106472
56,linear,5,relu,300,0.00473287608474493,0.048529352992773056,0.8607087453817942
57,linear,10,relu,100,0.004713662900030613,0.04717594012618065,0.8555333068958834
58,linear,10,relu,200,0.004563787952065468,0.046113766729831696,0.8599898942622424
59,linear,10,relu,300,0.004540830850601196,0.04660627618432045,0.8624390199713748
60,linear,15,relu,100,0.004514753352850676,0.04629099369049072,0.8623493128588647
61,linear,15,relu,200,0.0049852472729980946,0.048007797449827194,0.8457568317859748
62,linear,15,relu,300,0.004782517906278372,0.047885961830616,0.8543923565805777
63,linear,5,tanh,100,0.004801616072654724,0.046996843069791794,0.8509085872663834
64,linear,5,tanh,200,0.004607542417943478,0.04586860537528992,0.8586345006789603
65,linear,5,tanh,300,0.004597323946654797,0.04679739102721214,0.8641826439613344
66,linear,10,tanh,100,0.004523877985775471,0.046963006258010864,0.8649888938308538
67,linear,10,tanh,200,0.00454066414386034,0.04676095023751259,0.8646918535119841
68,linear,10,tanh,300,0.004537583328783512,0.04611975699663162,0.8627148776486737
69,linear,15,tanh,100,0.0044820597395300865,0.04690030962228775,0.8653776960419518
70,linear,15,tanh,200,0.004548741038888693,0.04678407683968544,0.8656084504703093
71,linear,15,tanh,300,0.004652917850762606,0.04713654890656471,0.8616127590231991
72,linear,5,linear,100,0.004710626322776079,0.047008778899908066,0.8583417892069121
73,linear,5,linear,200,0.004596918821334839,0.04634544625878334,0.8606963512433773
74,linear,5,linear,300,0.004687311127781868,0.0467444472014904,0.8554537474446849
